template_key,template_name,mode,distance_nm,angle_deg,target_range_nm,power_coeff_db,radar_direction_gain_db,jammer_mode_power_db,effective_jammer_power_db,jsr_db,jam_probability
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,20,20,20.0,16.0,-23.651364519313827,23.0,23.0,-25.277944959115892,0.006333246000926214
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,20,30,20.0,16.0,-29.99899108978337,23.0,23.0,-31.625571529585436,0.0017875604496900854
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,20,40,20.0,16.0,-36.0,23.0,23.0,-37.62658043980207,0.0005389675457679458
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,20,50,20.0,16.0,-36.0,23.0,23.0,-37.62658043980207,0.0005389675457679458
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,20,60,20.0,16.0,-36.0,23.0,23.0,-37.62658043980207,0.0005389675457679458
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,20,70,20.0,16.0,-36.0,23.0,23.0,-37.62658043980207,0.0005389675457679458
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,20,80,20.0,16.0,-36.0,23.0,23.0,-37.62658043980207,0.0005389675457679458
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,20,90,20.0,16.0,-36.0,23.0,23.0,-37.62658043980207,0.0005389675457679458
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,30,0,20.0,16.0,6.38160282421013e-05,23.0,23.0,-5.148341804887448,0.26314840436003273
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,30,10,20.0,16.0,-18.20182644634626,23.0,23.0,-23.35023206726195,0.009284818752652798
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,30,20,20.0,16.0,-23.651364519313827,23.0,23.0,-28.799770140229516,0.0031413572422151243
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,30,30,20.0,16.0,-29.99899108978337,23.0,23.0,-35.14739671069906,0.0008846094205729602
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,30,40,20.0,16.0,-36.0,23.0,23.0,-41.14840562091569,0.0002665502678065774
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,30,50,20.0,16.0,-36.0,23.0,23.0,-41.14840562091569,0.0002665502678065774
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,30,60,20.0,16.0,-36.0,23.0,23.0,-41.14840562091569,0.0002665502678065774
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,30,70,20.0,16.0,-36.0,23.0,23.0,-41.14840562091569,0.0002665502678065774
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,30,80,20.0,16.0,-36.0,23.0,23.0,-41.14840562091569,0.0002665502678065774
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,30,90,20.0,16.0,-36.0,23.0,23.0,-41.14840562091569,0.0002665502678065774
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,40,0,20.0,16.0,6.38160282421013e-05,23.0,23.0,-7.647116537053449,0.17807807846335272
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,40,10,20.0,16.0,-18.20182644634626,23.0,23.0,-25.849006799427947,0.005653553715078586
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,40,20,20.0,16.0,-23.651364519313827,23.0,23.0,-31.298544872395517,0.0019081540858949106
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,40,30,20.0,16.0,-29.99899108978337,23.0,23.0,-37.64617144286506,0.0005368610261122133
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,40,40,20.0,16.0,-36.0,23.0,23.0,-43.64718035308169,0.00016172748813407926
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,40,50,20.0,16.0,-36.0,23.0,23.0,-43.64718035308169,0.00016172748813407926
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,40,60,20.0,16.0,-36.0,23.0,23.0,-43.64718035308169,0.00016172748813407926
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,40,70,20.0,16.0,-36.0,23.0,23.0,-43.64718035308169,0.00016172748813407926
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,40,80,20.0,16.0,-36.0,23.0,23.0,-43.64718035308169,0.00016172748813407926
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,40,90,20.0,16.0,-36.0,23.0,23.0,-43.64718035308169,0.00016172748813407926
